6342	120	6	19.83
820	232	4	8.55
1266	112	30	79.53
1643	188	4	10.23
121	386	24	9.43
1438	127	11	20.29
3433	14140	3	46.25
4152	104	7	10.24
3130	102	12	7.52
603	189	21	83.51
59	1590	9	16.81
3730	149	5	15.6
5938	193	4	23.36
59	3195	4	7.25
316	130	24	18.55
223	1425	4	11.53
7248	510	7	79.65
13664	13665	3	61.26
7471	291	4	32.88
57	1031	8	7.83
130	654	11	7.52
59	1773	6	8.45
2707	180	3	8.31
131	1889	7	12.08
223	1687	3	7.96
4245	118	5	7.78
2327	16	5	8.24
14224	129	3	16.54
390	1343	6	30.59
8061	105	5	11.4
516	340	4	9.03
15506	104	3	7.94
1804	428	3	13.69
16514	104	3	7.94
478	11458	4	45.01
1679	197	3	6.74
123	419	22	10.97
4128	110	6	9.88
655	261	8	26.44
127	481	14	6.82
126	103	651	8.04
126	5095	4	9.56
11356	117	4	17.94
1404	17344	3	40.11
3938	128	5	11.7
875	132	13	20.26
13266	111	3	7.78
162	2103	5	13.22
13328	175	3	23.87
157	179	26	10.02
4753	115	5	8.32
315	356	8	21.11
157	6742	3	12.86
2463	398	3	14.87
117	10773	3	9.18
3071	457	3	17.47
8187	112	4	10.31
103	2094	13	6.81
698	374	4	11.71
1144	8	14	10.48
2871	57	7	18.79
617	13516	3	35.09
1751	112	13	18.94
822	132	20	42.74
253	1508	4	13.96
4689	16	4	10.72
15516	249	3	28.76
5566	149	3	8.89
1607	12	24	9.31
11009	1314	4	53.81
13594	112	3	13.1
5122	115	10	44.18
107	9159	4	10.54
1787	10378	5	69.6
211	2774	3	10.4
6759	134	5	21.42
6247	442	3	22.51
14692	124	3	15.91
3726	292	3	17.57
3401	2429	7	83.63
509	4088	12	136.9
412	1616	3	12.56
169	5217	3	11.28
121	11600	3	10.27
140	105	411	107.14
1663	684	6	47.39
166	534	9	11.74
169	2016	18	105.64
1151	103	26	10.85
9780	121	3	8.22
293	617	5	13.34
1105	689	3	13.29
104	9895	4	10.59
117	2547	8	10.89
2790	123	9	21.25
17	1623	4	8.39
117	197	65	11.34
119	967	14	10.59
298	315	7	15.42
114	3790	5	6.72
334	345	5	8.79
1483	4645	3	27.57
143	844	32	117.5
10967	11133	4	79.38
711	704	3	11.15
2146	107	10	9.25
116	751	17	12.1
374	321	5	9.45
111	1673	11	8.89
108	476	113	440.9
8018	5005	6	100.74
2682	254	4	18.8
232	277	8	10.54
12795	3224	4	61.39
18072	149	3	19.9
109	2582	8	10.06
293	450	9	28.73
294	318	6	11.13
954	127	14	21.26
408	271	6	12.2
568	197	7	12.67
1047	417	3	10.02
134	5656	9	53.27
108	1991	10	8.48
14807	104	3	7.94
2648	107	20	76.16
13	1777	4	8.63
7991	103	6	13.68
193	3060	3	10.29
860	321	3	7.84
2423	161	5	14.61
8436	104	6	15.89
508	464	3	6.89
16287	16	3	18.35
1351	1742	4	29.12
112	689	17	6.8
4135	102	11	15.49
529	1084	3	11.75
5705	133	3	6.95
404	162	10	10.29
470	127	25	33.44
1388	134	13	29.39
104	10675	4	10.59
564	253	4	6.72
6124	2739	5	64.51
1451	114	11	9.34
119	8226	5	17.96
103	8841	5	11.4
104	8439	6	15.89
5677	16	3	7.47
11726	11727	4	79.38
1349	137	8	11.08
329	139	168	1054.2
146	2662	4	7.35
17	332	9	7.49
116	1891	14	28.5
107	5461	6	12.34
537	389	4	10.64
504	1156	6	35.93
9	661	18	6.95
110	383	36	12.02
8603	101	6	10.35
168	699	7	10.26
640	12	51	8.02
127	13527	3	16.94
2364	140	6	12.63
833	324	5	17.75
3300	17452	3	46.25
200	3273	4	17.1
111	7315	5	14.86
2097	223	3	9.32
10071	112	3	6.85
3258	117	7	11.49
8758	175	3	17.22
231	375	6	8.49
12074	123	3	10.96
142	5150	3	7.99
534	734	3	9.63
842	838	4	20.02
144	2794	4	6.88
272	1075	3	7.63
298	293	5	7.27
116	780	26	38.76
1219	116	11	8.43
108	17583	3	11.64
148	1462	9	19.82
1158	536	4	18.54
235	697	5	11.33
841	102	36	13.05
2790	145	4	7.9
113	4108	5	8.11
205	2076	4	13.68
7970	454	4	36.82
1129	158	6	10.13
116	549	27	22.95
1732	267	5	21.53
104	15472	3	7.94
1191	123	14	21.26
2127	314	3	12.89
116	7147	5	15.02
911	9	16	12.27
3981	106	8	13.39
112	17019	3	13.1
645	443	4	13.59
136	1641	7	10.48
200	957	4	7.31
199	827	8	22.41
107	163	136	8.55
110	2123	10	12.54
110	3716	7	10.16
9688	12	5	8.05
3838	182	3	10.91
2779	532	3	17.67
879	16724	3	37.54
410	336	4	6.99
120	9653	4	14.14
8334	108	4	8.5
2034	393	3	13.57
136	5586	4	12.34
4033	13499	3	47.77
10	1049	5	8.29
139	1959	10	26.8
1120	616	3	13.56
12251	101	4	6.9
167	3951	3	9.39
341	11701	3	26.68
1461	176	4	7.54
953	1162	3	15.82
122	8401	3	6.76
5649	12	8	7.79
537	346	4	9.68
235	1252	4	11.43
10209	12	5	8.05
119	1530	11	11.83
387	9056	3	25.73
144	1840	6	10.52
115	4180	12	53.03
500	298	4	8.23
528	426	4	12.3
9930	105	5	16.38
119	7376	7	32.42
145	2333	7	19.03
3235	1131	6	57.16
2180	227	25	233.08
143	1149	19	57.14
410	1476	3	12.01
344	1403	3	10.58
123	8898	3	8.89
1459	148	8	15.8
349	747	3	7.14
8	1104	13	7.95
107	1566	35	133.37
442	12551	4	44.11
1093	167	5	7.96
1066	775	4	21.35
364	1275	5	22.8
5666	199	3	14.6
1477	151	6	10.75
4671	12	10	10.59
623	2889	3	19.68
273	143	19	7.6
104	17773	3	7.94
180	636	6	8.76
8796	766	5	61.12
867	295	5	16.8
2494	150	4	7.49
6043	120	4	8.65
480	639	3	8.34
161	272	23	34.36
17197	103	3	6.84
281	101	108	10.86
5375	12800	4	68.29
112	13126	3	8.84
105	622	45	43.19
282	2952	5	28.93
256	560	4	6.92
157	3200	3	7.42
4534	6242	3	41.12
15542	132	3	17.7
2383	8	7	6.73
1677	57	7	10.31
13504	777	3	36.76
149	5793	3	9.69
149	8171	3	11.81
399	101	101	54.63
18053	170	3	23.39
280	373	6	11.51
211	954	6	16.29
151	131	71	7.41
995	308	7	32.85
156	5203	10	72.86
107	10982	4	15.22
151	5127	3	9.01
461	1788	3	13.76
2504	248	3	12.11
1922	102	17	7.01
138	8304	3	10.31
425	1582	3	12.56
2976	147	4	8.36
132	128	124	8.81
101	815	47	22.75
12	938	39	13.06
105	6084	5	7.09
484	490	3	6.92
863	110	20	13.21
15572	103	3	6.84
4439	162	3	10.09
105	5213	8	17.06
664	636	3	10.63
157	206	21	11.48
12	140	725	57.94
1619	1093	3	18.49
103	1246	29	21.24
601	320	4	9.46
794	482	4	15.07
5746	108	5	8.28
551	128	15	10.39
367	295	5	8.39
11783	102	4	7.79
1261	606	4	20.62
106	12937	3	6.7
342	259	10	23.75
